nombre_de_film,genres,moyenne
5083,Sport,7.0
188697,Action,7.0
9620,Thriller,6.0
24648,Game-Show,7.0
43425,Reality-TV,7.0
3203,Sci-Fi,6.0
6407,Western,8.0
385,Short,7.0
242029,Drama,7.0
106859,Crime,7.0
332712,Comedy,7.0
10532,Talk-Show,7.0
5848,News,6.0
5557,Music,7.0
2006,Musical,7.0
4,,6.0
85041,Adventure,7.0
19368,\N,6.0
5242,Fantasy,7.0
6838,Adult,6.0
2865,History,7.0
9191,Romance,7.0
132859,Documentary,7.0
16686,Family,7.0
28967,Biography,7.0
65586,Animation,7.0
4655,Mystery,7.0
19009,Horror,5.0
763,War,6.0
16,Film-Noir,6.0
